region,city,old,title,fio,focus,cati,online,email,website,rating
Бурятия Республика,Улан-Удэ,,"Социологическая служба ""Эйдос""",Будаева Цыцык Батоевна,,,,,,5
Алтай Республика,Бийск,,"МИГ МаркИС, Бийский филиал",Федотова Ирина,,,,,,3
Удмуртская Республика,Иркутск,,Медиаинформ,Иоффе Сергей Вильямович,,,,,,0
Амурская область,Благовещенск,,"ООО ""Мониторинг"", Центр изучения общественного мнения",Синякова Галина Ивановна,,,,,,1
Томская область,Томск,,Научно-образовательный центр «Социогуманитарные технологии» ТУСУР,Орлова Вера Вениаминовна,,,,,,0
Новосибирская область,Новосибирск,,"ИК ""PreVIEW"" / ИП Сидоренко Е.Л.",Сидоренко Елена Леонидовна,,,,,,1
Алтай Республика,Барнаул,,"ООО ""Центр социологических исследований ""Регион Алтай""",Максимова Светлана Геннадьевна,,,,,,3
Хабаровский край,Хабаровск,,"ООО ""КЛИО ДВ""",Дайнович Наталья Владимировна,,,,,,0
Алтай Республика,Барнаул,,"ООО ""Имиджтехнологии""",Литвинова Анна Михайловна,,,,,,2
Кемеровская область (Кузбасс),Кемерово,,"ООО ""КЕМФОМ-2020""",Селиванов Олег Юрьевич,,,,,,7
Удмуртская Республика,Иркутск,,"НАО ""КНС"" / Рейтинговое агентство ""Кто есть кто""",Зимин Михаил Викторович,,,,,,3
Новосибирская область,Новосибирск,,"ООО ""Тайга Ресёч"" / Тайга.Research",Баянов Александр,,,,,,6
Новосибирская область,Новосибирск,,"ООО ""Сами Исследования"" / SAMI",Шапкин Александр Сергеевич,,,,,,6
Хабаровский край,Хабаровск,,"ООО ""НСИМИ"" / Независимые социологические и маркетинговые исследования",Суровцева Елена Александровна,,,,,,6
Хабаровский край,Хабаровск,,Агентство Маркетинговых Исследований Status-Market / ИП Байкова В.Э.,Байкова Виктория,,,,,,2
Новосибирская область,Новосибирск,,NRay Company,Торопова Евгения,,,,,,6
Томская область,Томск,,"ЦСМИ ""Метод"" / ИП Зенкина А.О.",Зенкина Анна Олеговна,,,,,,0
Алтай Республика,Барнаул,,"ООО ""Цирком Сибирь""",Токарев Владимир Александрович,,,,,,1
Красноярский край,Красноярск,,"Колл-центр ""ПроКоллибри"" / ИП Уфимцева О.А.",Мелевич Алексей,,,,,,0
Алтай Республика,Барнаул,,"ООО ""Специя"" / Исследовательская компания ""Spezia""",Чеснакова Ирина Игоревна,,,,,,3
Бурятия Республика,Улан-Удэ,,"АНО ""ЦПП ""Макон"", консалтинговая компания",Дагаева Бэлла,,,,,,5
Челябинская область,Челябинск,,"ООО ""АСМИ""",Саночкин Александр,,,,,,2
Нижегородская область,Нижний Новгород,,"ООО ""Нижегородский центр маркетинговых исследований"" / ИП Куранова Н.П.",Куранова Наталья,,,,,,3
Свердловская область,Екатеринбург,,"ЗАО ""Евро-Азиатский центр социальных исследований""",Стаценко Сергей,,,,,,2
Кировская область,Киров,,"Рекламное агентство полного цикла ""Tom Garret creative group""",Садаков Константин Леонидович,,,,,,4
Пермский край,Пермь,,Supervisor,Рожнева Анастасия Николаевна,,,,,,5
Самарская область,Самара,,"АНО ""Центр исследований рынка труда""",Кутейницына Татьяна Григорьевна,,,,,,7
Оренбургская область,Оренбург,,"ООО ""Открытый диалог""",Быстрова Марина Владимировна,,,,,,7
Саратовская область,Саратов,,ИП Семенова Н.Б.,Семенова Надежда Борисовна,,,,,,2
Нижегородская область,Нижний Новгород,,"ООО ""НИЦ ЭОН""",Стрелков Дмитрий Гаврилович,,,,,,2
Оренбургская область,Оренбург,,Южно-Уральский Центр Социальных Исследований,Щукин Алексей Витальевич,,,,,,1
Оренбургская область,Оренбург,,"ООО ""ЭланКом""",Маркина Элина Олеговна,,,,,,2
Саратовская область,Саратов,,"ООО ""Антарес Плюс""",Безрутченко Юлия Вячеславовна,,,,,,2
Пермский край,Пермь,,Прикамский исследовательский центр Технологии социального согласия,Мезрин Алексей Владимирович,,,,,,1
Пензенская область,Пенза,,"ООО ""Олимп"", Центр социальных и маркетинговых исследований",Резник Игорь Семенович,,,,,,6
Саратовская область,Саратов,,DK research / ИП Решетников Д.Г.,Решетников Дмитрий Геннадьевич,,,,,,2
Чувашская Республика,Чебоксары,,"ЧРООС ""Социс"" / Социс-М / ИП Борцов Д.Г.",Борцов Дмитрий Геннадьевич,,,,,,4
Челябинская область,Челябинск,,"ООО ""Маркетинг Консалтинг Групп""",Кривощеков Алексей Леонидович,,,,,,6
Самарская область,Самара,,Самарская Консультативная Группа «ПолитКонсалтинг»,"Гартвиг Бэлла Владимировна, Стриженов Виталий Викторович",,,,,,1
Санкт-Петербург,Саранск,,"Государственное казенное учреждение Республики Мордовия ""Научный центр социально-экономического мониторинга""",Фадеева Ирина Михайловна,,,,,,1
Тюменская область,Тюмень,,"ООО ""Эмпирика""",Рупп Светлана Валерьевна,,,,,,3
Тюменская область,Тюмень,,Тюменский Центр Маркетинговых и Социальных Исследований / ИП Шулдикова Т.В.),Шулдикова Татьяна Владимировна,,,,,,1
Свердловская область,Екатеринбург,,ИП Хазанова Б.Б.,Хазанова Бэлла Борисовна,,,,,,0
Нижегородская область,Нижний Новгород,,ИП Морозова О.В,Морозова Ольга,,,,,,0
Нижегородская область,Нижний Новгород,,Маркетинговая компания LCH (Long Hands company),Учаев Сергей,,,,,,0
Ханты-Мансийский автономный округ-Югра,Сургут,,Центр маркетинговых и социалогических исследований,Лешков Александр,,,,,,0
Свердловская область,Екатеринбург,,"ООО ""Базис ИГ"" / Bazis intelligence group",Зискелевич Михаил Леонидович,,,,,,5
Башкортостан Республика,Уфа,,"ООО ""Амадеус Фарм""",Саньяпова Луиза Зимфировна,,,,,,0
Нижегородская область,Нижний Новгород,,"ООО ""Волго-Вятская социологическая служба""",Праздничков Олег Михайлович,,,,,,7
Удмуртская Республика,Ижевск,,"Аналитический центр ""Авокадо""",Сабурова Людмила Альбертовна,,,,,,2
Свердловская область,Екатеринбург,,"ООО ""Эксмедиа МДБ"" / ExMedia",Боголепов Андрей Игоревич,,,,,,5
Марий Эл Республика,Йошкар-Ола,,Агентство Царегородцевой,Царегородцева Анна,,,,,,0
Башкортостан Республика,Уфа,,Соломон ресеч /BG Андрющенко Я.В.,Андрющенко Ярослав Владимирович,,,,,,2
Кировская область,Киров,,"Агентство ""МИР""",Сысолятина Светлана Аркадьевна,,,,,,3
Саратовская область,Саратов,,"ООО ""Квемм""",Воронова Наталья Юрьевна,,,,,,3
Свердловская область,Екатеринбург,,Региональный центр маркетинговых и социологических исследований Marketing For Life,Костылева Ксения Павловна,,,,,,1
Свердловская область,Екатеринбург,,"ООО ""Центр Социальных Технологий ""Оптима""",Маликова Наталья Николаевна,,,,,,1
Нижегородская область,Нижний Новгород,,"ООО ""Точка зрения"", маркетинговое агентство",Савинова Юлия,,,,,,3
Башкортостан Республика,Уфа,,"ООО ""Тиги"" / Группа исследовательских компаний ""TIGI""",Неганова Елена Валерьевна,,,,,,6
Нижегородская область,Нижний Новгород,,"ООО ""НАРМИ""",Закерова Надежда Петровна,,,,,,7
Самарская область,Самара,,"ООО ""Центр ""Социальная Механика"", Центр гуманитарных технологий исследований",Чураков Михаил Владимирович,,,,,,4
Самарская область,Самара,,"ООО ""Маркетинговое агентство ""360 градусов""",Пыркова Елена Владиславовна,,,,,,4
Саратовская область,Саратов,,"ООО ""ИСС ""Модамедиана""",Блаженнова Татьяна Владимировна,,,,,,2
Свердловская область,Екатеринбург,,ИП Тарасевич Н.Н.,Тарасевич Наталья Николаевна,,,,,,0
Свердловская область,Екатеринбург,,"ООО ""Оранж Маркетинг Групп"" / Orange Marketing Group",Рублевская Юлия Вячеславовна,,,,,,2
Пермский край,Пермь,,Агентство СВОИ,Нода Александр Сергеевич,,,,,,5
Самарская область,Самара,,"ООО ""Мегаполис"" / Агентство маркетинговых исследований Megapolis",Смит Марина Рудольфовна,,,,,,3
Самарская область,Самара,,Аврора,Омелянчук Сергей Леонидович,,,,,,7
Нижегородская область,Нижний Новгород,,Маркетинговая компания PANORAMA / ИП Мочалина А.В.,Мочалина Анастасия Владимировна,,,,,,2
Чувашская Республика,Чебоксары,,"Агентство социологических и маркетинговых исследований (АСМИ) ""Перо"" / ИП Тришин Е.Н.",Тришина Наталия Сергеевна,,,,,,3
Пермский край,Пермь,,"УралИНСО, агентство социологических и маркетинговых исследований",Русаков Алексей Иванович,,,,,,3
Татарстан Республика,Набережные Челны,,"ИАЦ ""Развитие"" / ИП Скопенко В.А.",Скопенко Виктор Александрович,,,,,,6
Башкортостан Республика,Уфа,,"ООО ""Центр исследований ""СоциоМаркет""",Фоменко Сергей Анатольевич,,,,,,5
Пензенская область,Пенза,,"Агентство маркетинговых и социологических исследований ""Сегмент""",Насонов Сергей,,,,,,3
Свердловская область,Екатеринбург,,"ООО ""МА Практика""",Рязанцева Оксана Валентиновна,,,,,,3
Татарстан Республика,Казань,,"ООО ""Возрождение"", Центр политических и маркетинговых технологий",Волков Владимир Русланович,,,,,,2
Свердловская область,Екатеринбург,,"Деловой Центр-Екатеринбург, ООО",Шуруева Анна Александровна,,,,,,1
Тюменская область,Тюмень,,"ООО ""Центр изучения региональных процессов""",Фарахутдинов Шамиль Фаритович,,,,,,0
Самарская область,Самара,,"Лаборатория социально-средового проектирования ""Человеческий фактор""",Семенова Татьяна Вениаминовна,,,,,,0
Татарстан Республика,Набережные Челны,,"ООО ""Центр маркетинговых исследований""",Машкова Елена Владимировна,,,,,,3
Нижегородская область,Нижний Новгород,,"ООО ""ФОРЭН""",Нуртынова Надия Шамилевна,,,,,,7
Нижегородская область,Нижний Новгород,,"ООО ""Коммерсант-эксперт - маркетинг",Котов Станислав,,,,,,0
Нижегородская область,Нижний Новгород,,"ООО ""Региональная Аналитика и Информация"" / Regional Analytics & Information",Ершов Дмитрий Евгеньевич,,,,,,2
Астраханская область,Астрахань,,РА Абрикос,Горелкин Александр Иванович,,,,,,0
Воронежская область,Воронеж,,"ООО ""АСПЕКТ""",Ветрова Марина Михайловна,,,,,,3
Волгоградская область,Волгоград,,"ООО ""АМК""",Янмаева Альфия Хасиповна,,,,,,2
Тверская область,Тверь,,"РИЦ ""Статус"", ООО",Конькова Ирина Александровна,,,,,,4
Тверская область,Тверь,,"Лаборатория социальных исследований ФГБОУ ВО ""Тверской государственный университет""",Михайлов Валерий Алексеевич,,,,,,3
Белгородская область,Белгород,1,Маркис / ИП Марочкин А.Г.,Марочкина Екатерина Владимировна,1,4,,"kmarochkina@mail.ru, markis_belgorod@mail.ru",markis31.ru,4
Владимирская область,Владимир,,"ООО ""Независимое Агентство Региональных Исследований"" (НАРИ)",Полковников Евгений Владимирович,,,,,,5
Коми Республика,Сыктывкар,,Прайм-Мониторинг,Попов Анатолий Владимирович,,,,,,3
Московская область,Павловский Посад,,"ООО ""Вертикаль Информ""",Клопцов Евгений Анатольевич,,,,,,4
Владимирская область,Владимир,,Агентство социологии Кузьмина / ИП Кузьмина И.А.,Кузьмина Ирина Александровна,,,,,,2
Тульская область,Тула,,"Исследовательская компания ""МАРКАМ"" / ИП Малахова Е.В.",Малахова Елена Викторовна,,,,,,3
Крым Республика,Севастополь,,Центр социологических исследований,Ярмак Ольга Валерьевна,,,,,,1
Крым Республика,Симферополь,,REAL Tavrida / ИП Игнатенко-Брюханова А.В.,Игнатенко-Брюханова Анна Владимировна,,,,,,2
Дагестан Республика,Махачкала,,"ООО Исследовательский Центр ""Вектор""",Ахмедова Нелли Абуталибовна,,,,,,3
Воронежская область,Воронеж,,Знак-маркетинг,Бугаев Алексей Юрьевич,,,,,,3
Москва,Москва,,Polevik / ИП Петраченков Р.Э.,Петраченков Руслан Эльдарович,,,,,,1
Белгородская область,Белгород,,"Международный центр социологических исследований НИУ ""БелГУ""",Шаповалова Инна Сергеевна,,,,,,4
Крым Республика,Севастополь,,"ООО ""Окрыляем успехом""",Казанцева Виктория Петровна,,,,,,3
Белгородская область,Белгород,,ИП Де Вриз Т. А.,Де Вриз Татьяна Александровна,,,,,,3
Санкт-Петербург,Санкт-Петербург,,"ООО ""Поле""",Десятникова Софья Олеговна,,,,,,1
Крым Республика,Севастополь,,"Исследовательская компания ""Альтернатива""",Большакова Мария Николаевна,,,,,,0
Краснодарский край,Краснодар,,"ООО ""МаркетингЛаб"" / Marketing LAB, Лаборатория Маркетинговых Исследований",Широких Андрей,,,,,,5
Тамбовская область,Тамбов,,SmartBrief / ИП Ефремова Е.Ю.,Ефремова Елена Юрьевна,,,,,,3
Ростовская область,Ростов-на-Дону,,"Центр социально-политических и маркетинговых исследований ""СИМИ""",Андрианова Ирина Викторовна,,,,,,7
Мурманская область,Мурманск,,ИП Калинина Т.В.,Калинина Татьяна Васильевна,,,,,,1
Брянская область,Брянск,,"ООО ""Финтраст Консалтинг""",Кузьмичев Иван Валерьевич,,,,,,3
Тверская область,Тверь,,"ООО ""Компания ""Максимум-Информ""",Веселов Максим Геннадьевич,,,,,,5
Липецкая область,Липецк,,M.A.S. Research and Consulting,Орлов Сергей Владимирович,,,,,,5
Ростовская область,Ростов-на-Дону,,"ООО ""ФЦМК"" / Федеральный центр маркетинга и консалтинга",Озеров Андрей Олегович,,,,,,3
Вологодская область,Вологда,,"АНУ ВО ""Агентство мониторинга и социологических исследований""",Шапкина Ирина Михайловна,,,,,,3
Дагестан Республика,Махачкала,,"АНО ""ММЦ ""Дагестан - Москва""",Абдурашидова Аминат Магомедкамиловна,,,,,,5
Москва,Москва,,Маркетинговое агентство ZALESSKY / ИП Залесская М.В.,Залесская Марина Васильевна,,,,,,3
Тамбовская область,Тамбов,,Независимая социологическая служба,Дробжев Александр Михайлович,,,,,,1
Волгоградская область,Волгоград,,"Фонд ""Институт экономических и социальных исследований""",Шевяков Михаил Юрьевич,,,,,,6
Санкт-Петербург,Санкт-Петербург,,"ООО """"Экзакт Пулл""",Изосимова Ольга Александровна,,,,,,6
Вологодская область,Вологда,,Отдел исследования уровня и образа жизни населения Вологодского научного центра Российской академии наук,Калачикова Ольга Николаевна,,,,,,0
Москва,Москва,,ИП Лазарева Н.Г.,Лазарева Наталья Геннадьевна,,,,,,0
Краснодарский край,Краснодар,,"Центр маркетинговых технологий ""Amadeus""",Фомина Эльвира Геннадиевна,,,,,,4
Москва,Москва,,ИП Ковтарева Е.В.,Ковтарева Елена Валерьевна,,,,,,0
Липецкая область,Липецк,,NICE ADVICE / ИП Филинская Л.В.,Филинская Лариса Владимировна,,,,,,7
Вологодская область,Вологда,,Lab SM - Лаборатория Социологии и Маркетинга,Владимирова Марина Владимировна,,,,,,6
Санкт-Петербург,Санкт-Петербург,,ООО Трейд Маркетинг Суппорт,Черницина Анастасия Андреевна,,,,,,0
Смоленская область,Смоленск,,"ООО ""Смоленский центр права и социологии""",Пещаницкий Алексей Владимирович,,,,,,4
Курская область,Курск,,"Агентство ""МИСИ"" / ИП Кубрина М.В.",Кубрина Марина Владимировна,,,,,,7
Новгородская область,Великий Новгород,,"ООО МА ""Медиа-полюс"" / ИП Мезенцев Ф.В.",Мезенцев Федор Викторович,,,,,,3
Липецкая область,Липецк,,BTL-агентство Бешеное Колесо / ИП Бешкинская Ю.С.,Бешкинская Юлия Сергеевна,,,,,,1
Ростовская область,Ростов-на-Дону,,ИП Перышкина Н.В.,Перышкина Наталья Викторовна,,,,,,0
Москва,Москва,,Колл-центр Уиллстрим / Wilstream,Панфилова Оксана Юрьевна,,,,,,0
Санкт-Петербург,Санкт-Петербург,,ИП Волгин Вячеслав Сергеевич,Волгина Наталья Сергеевна,,,,,,0
Липецкая область,Липецк,,"Фреш, маркетинговое агентство / ИП Зотова Л.В.",Зотова Людмила Владимировна,,,,,,3
Ярославская область,Ярославль,,"ООО ""Фидбэк""",Шамукова Екатерина,,,,,,4
Владимирская область,Владимир,,"ООО ""Айди-маркетинг"", исследовательская компания",Новикова Екатерина Евгеньевна,,,,,,2
Воронежская область,Воронеж,,КОНТАКТ,Малышева Елена Ивановна,,,,,,0
Краснодарский край,Краснодар,,Центр социальных и маркетинговых исследований,Реммлер Виктория Юрьевна,,,,,,5
Ростовская область,Ростов-на-Дону,,Actis-si / ИП Шипико Д.В.,Шипико Дарья,,,,,,1
Тульская область,Тула,,ИП Спириденков С.Е.,Спириденков Семен Евгеньевич,,,,,,5
Крым Республика,Симферополь,,ИП Сергеева О.Б.,Сергеева Ольга Борисовна,,,,,,1
Санкт-Петербург,Санкт-Петербург,,Маркетинговый Центр SN Research / ИП Сергеева Н.В.,Сергеева Наталия,,,,,,1
Архангельская область,Архангельск,,"Маркетинговый центр ""НИКОМ""",Данилова Марина Федоровна,,,,,,0
Северная Осетия-Алания Республика,Владикавказ,,ФГБОУ ВО «СОГУ»,Огоев Алан Урузмагович,,,,,,0
Москва,Москва,,"ООО ""Колл-Центр Вебка""",Сурма Сергей Валерьевич,,,,,,0
Костромская область,Кострома,,"ЧОУ ДО ""Центр развития организаций и управления изменениями ""Грани""","Иванов Александр Михайлович, Смирнова Анастасия",,,,,,6
Волгоградская область,Волгоград,,"ООО Агентство маркетинговых коммуникаций ""Вьюпоинт""",Кузнецов Павел Игоревич,,,,,,5
Ставропольский край,Ставрополь,,"ООО ""Исследовательский центр ""Аналитика-Юг""",Найко Екатерина Сергеевна,,,,,,7
Ростовская область,Ростов-на-Дону,,"НИЦ ""Аналитика""",Устинова Лия Александровна,,,,,,5
Краснодарский край,Краснодар,,Южный маркетинговый центр,Козуб Анна Александровна,,,,,,0
Псковская область,Пятигорск,,"Рекламное агентство ""Prime Position""",Морозова Елена,,,,,,0
Тульская область,Тула,,Тульская Независимая Социологическая Служба / ИП Орлов К.В.,Орлов Кирилл Владимирович,,,,,,2
Ярославская область,Ярославль,,"ООО ""Хи-Квадрат"", Социологический центр",Голубев Евгений Евгеньевич,,,,,,2
Москва,Москва,,ИП Дрокова В.С.,Дрокова Виктория Сергеевна,,,,,,0
Санкт-Петербург,Санкт-Петербург,,SMResearch / ИП Лерман С.Л.,Лерман Светлана Леонидовна,,,,,,3
Ростовская область,Ростов-на-Дону,,"ООО ""007"", маркетинговая группа",Сидорюк Яна Владимировна,,,,,,3
Крым Республика,Симферополь,,"ООО ""Республиканский институт политических и социологических исследований""",Осипенко Владимир Валерьевич,,,,,,3
Санкт-Петербург,Санкт-Петербург,,"ООО ""Маркетинговое Агентство ЕС""",Сократилина Елена Юрьевна,,,,,,3
Астраханская область,Астрахань,,Центр социологических исследований Астраханского государственного университета,Миронова Юлия Германовна,,,,,,2
